classifiers,fpr,tpr,auc
DecisionTreeClassifier,[0.         0.25022624 1.        ],[0.         0.93452366 1.        ],0.8421487063497133
ExtraTreesClassifier,[0.         0.26769231 1.        ],[0.         0.95791172 1.        ],0.8451097085408124
GradientBoostingClassifier,[0.         0.08624434 1.        ],[0.         0.87112227 1.        ],0.8924389623627753
RandomForestClassifier,[0.         0.14461538 1.        ],[0.         0.93452366 1.        ],0.8949541362139667
BaggingClassifier,[0.         0.13972851 1.        ],[0.         0.92053693 1.        ],0.8904042098591463
AdaBoostClassifier,[0.         0.13484163 1.        ],[0.         0.85918488 1.        ],0.8621716234638515
