classifiers,fpr,tpr,auc
DecisionTreeClassifier,[0.         0.12488688 1.        ],[0.         0.88577503 1.        ],0.8804440780570515
ExtraTreesClassifier,[0.         0.08443439 1.        ],[0.         0.87737275 1.        ],0.8964691798951152
GradientBoostingClassifier,[0.         0.08361991 1.        ],[0.         0.86658811 1.        ],0.891484099607554
RandomForestClassifier,[0.         0.05954751 1.        ],[0.         0.88700464 1.        ],0.9137285626572864
BaggingClassifier,[0.         0.05864253 1.        ],[0.         0.87686041 1.        ],0.90910894027096
AdaBoostClassifier,[0.         0.13140271 1.        ],[0.         0.85342111 1.        ],0.8610091991853188
