classifiers,fpr,tpr,auc
DecisionTreeClassifier,[0.         0.22352407 1.        ],[0.         0.92913527 1.        ],0.8528056009362268
ExtraTreesClassifier,[0.         0.19509537 1.        ],[0.         0.93869496 1.        ],0.8717997967262507
GradientBoostingClassifier,[0.         0.19527702 1.        ],[0.         0.91352709 1.        ],0.8591250345854489
RandomForestClassifier,[0.         0.14059946 1.        ],[0.         0.93792609 1.        ],0.8986633151778058
BaggingClassifier,[0.         0.13687557 1.        ],[0.         0.92539341 1.        ],0.8942589202524148
AdaBoostClassifier,[0.         0.22615804 1.        ],[0.         0.89312625 1.        ],0.8334841056381019
