,trip_id,arrival_time,departure_time,line_index,shape_dist_traveled,time_diff,speed,dist_diff,code,direction_id,day_date,stop_code_d,stop_code_a,departure_delay,arrival_delay,temperature_line,app_temp_line,rain_line,snow_fall_line,snow_depth_line,humidity_line,precipitation_line,wmo_code_line,wind_speed_10m_line,wind_speed_100m_line,wind_dir_10m_line,wind_dir_100m_line,wind_gusts_line,soil_temperature_line,isArrivalDelay,isDepartureDelay
51,38,102400,102000,1,2.62308,0.07,39.0,2.62,18567,0,20210805,6500,6501,6,6,24.0,23.5,0.3,0.0,0.0,67.0,0.3,51.0,23.0,33.0,249.0,248.0,50.0,24.0,1.0,1.0
52,38,103000,102500,2,8.69727,0.08,73.0,6.07,18567,0,20210805,6501,6400,6,5,24.0,23.95,0.95,0.0,0.0,68.0,0.95,56.0,21.0,30.0,246.0,245.0,50.0,24.0,1.0,1.0
53,38,103700,103100,3,15.51342,0.1,68.0,6.82,18567,0,20210805,6400,6402,6,5,24.0,24.299999999999997,0.8500000000000001,0.0,0.0,73.0,0.8500000000000001,56.0,18.0,25.0,244.0,244.0,45.0,24.0,1.0,1.0
54,38,104800,103800,4,23.53195,0.17,48.0,8.02,18567,0,20210805,6402,6404,5,1,23.0,24.2,0.1,0.0,0.0,77.0,0.1,51.0,17.0,23.0,246.0,246.0,39.0,23.0,1.0,1.0
55,39,95400,95000,1,2.62308,0.07,39.0,2.62,18563,0,20210805,6500,6501,1,2,24.0,23.5,0.3,0.0,0.0,67.0,0.3,51.0,23.0,33.0,249.0,248.0,50.0,24.0,1.0,1.0
56,39,100000,95500,2,8.69727,0.08,73.0,6.07,18563,0,20210805,6501,6400,2,2,24.0,23.6,0.85,0.0,0.0,68.0,0.85,56.0,21.0,30.0,250.0,249.0,51.0,23.0,1.0,1.0
57,39,100800,100100,3,15.51342,0.12,58.0,6.82,18563,0,20210805,6400,6402,4,2,23.0,23.7,0.85,0.0,0.0,74.0,0.85,56.0,19.0,26.0,249.0,249.0,46.0,23.0,1.0,1.0
58,39,101800,100900,4,23.53195,0.15,53.0,8.02,18563,0,20210805,6402,6404,2,1,23.0,23.7,0.3,0.0,0.0,79.0,0.3,51.0,18.0,25.0,248.0,248.0,40.0,23.0,1.0,1.0
59,40,61800,61300,1,2.62308,0.08,31.0,2.62,18551,0,20210805,6500,6501,2,0,21.0,21.65,0.3,0.0,0.0,83.0,0.3,51.0,16.0,29.0,254.0,256.0,33.0,21.0,0.0,1.0
60,40,62400,61900,2,8.69727,0.08,73.0,6.07,18551,0,20210805,6501,6400,1,0,21.0,21.95,0.3,0.0,0.0,88.0,0.3,51.0,12.0,24.0,258.0,259.0,34.0,21.0,0.0,1.0
61,41,152400,152000,1,2.62308,0.07,39.0,2.62,18581,0,20210805,6500,6501,2,1,24.0,23.25,0.1,0.0,0.0,63.0,0.1,51.0,23.0,33.0,249.0,250.0,50.0,27.0,1.0,1.0
62,41,153000,152500,2,8.69727,0.08,73.0,6.07,18581,0,20210805,6501,6400,1,0,24.0,23.8,0.05,0.0,0.0,63.0,0.05,27.0,21.0,30.0,249.0,250.0,52.0,27.0,0.0,1.0
63,41,153700,153100,3,15.51342,0.1,68.0,6.82,18581,0,20210805,6400,6402,2,0,24.0,23.950000000000003,0.1,0.0,0.0,68.0,0.1,27.0,19.0,27.0,248.0,250.0,49.0,27.0,0.0,1.0
64,41,154700,153800,4,23.53195,0.15,53.0,8.02,18581,0,20210805,6402,6404,0,0,24.0,23.55,0.2,0.0,0.0,72.0,0.2,51.0,20.0,28.0,248.0,248.0,44.0,26.0,0.0,0.0
65,42,151800,151100,1,8.01853,0.12,69.0,8.02,18578,0,20210805,6404,6402,1,4,24.0,23.9,0.0,0.0,0.0,71.0,0.0,2.0,20.0,27.0,242.0,243.0,42.0,26.0,1.0,1.0
66,42,152700,151900,2,14.83468,0.13,51.0,6.82,18578,0,20210805,6402,6400,4,2,24.0,23.9,0.0,0.0,0.0,68.0,0.0,2.0,20.0,28.0,244.0,246.0,48.0,27.0,1.0,1.0
67,42,153800,152800,3,20.90887,0.17,36.0,6.07,18578,0,20210805,6400,6501,5,0,25.0,24.0,0.0,0.0,0.0,62.0,0.0,3.0,20.0,29.0,249.0,249.0,52.0,27.0,0.0,1.0
68,42,154300,153900,4,23.53195,0.07,39.0,2.62,18578,0,20210805,6501,6500,0,1,25.0,24.05,0.0,0.0,0.0,59.0,0.0,3.0,21.0,30.0,251.0,250.0,50.0,28.0,1.0,0.0
69,44,191800,191200,1,8.01853,0.1,80.0,8.02,18602,0,20210805,6404,6402,16,15,22.0,23.15,0.0,0.0,0.0,76.0,0.0,1.0,13.0,21.0,246.0,247.0,36.0,24.0,1.0,1.0
70,44,192700,191900,2,14.83468,0.13,51.0,6.82,18602,0,20210805,6402,6400,15,14,22.0,23.25,0.0,0.0,0.0,74.0,0.0,0.0,12.0,21.0,248.0,250.0,41.0,25.0,1.0,1.0
71,44,193800,192800,3,20.90887,0.17,36.0,6.07,18602,0,20210805,6400,6501,15,10,22.0,23.1,0.0,0.0,0.0,74.0,0.0,0.0,9.0,19.0,249.0,253.0,35.0,25.0,1.0,1.0
